Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
up,GO:0009685,gibberellin metabolic process,22/2126,61/20876,5.8081853048372165e-8,5.345768599441274e-5,5.019187770365082e-5,AT1G77950/AT3G26790/AT5G07200/AT4G27150/AT5G51810/AT1G17010/AT4G02780/AT4G24150/AT1G05160/AT1G67100/AT3G56350/AT5G10120/AT5G13790/AT4G21200/AT1G12610/AT3G24650/AT1G47990/AT1G72570/AT1G79460/AT3G54510/AT1G68320/AT2G32460,22
up,GO:0006721,terpenoid metabolic process,60/2126,290/20876,7.043173385298121e-8,5.345768599441274e-5,5.019187770365082e-5,AT1G54860/AT1G77950/AT3G26790/AT1G78390/AT2G21490/AT5G07200/AT4G27150/AT5G51810/AT2G34490/AT1G17010/AT4G02780/AT4G24150/AT5G44310/AT2G23240/AT4G32810/AT4G10020/AT2G28420/AT1G05160/AT3G02590/AT2G34860/AT3G24430/AT5G04220/AT4G16740/AT1G67100/AT1G12800/AT4G14210/AT1G80030/AT3G56350/AT5G23120/AT2G43710/AT4G30950/AT5G44630/AT3G03660/AT1G30100/AT2G27680/AT5G51760/AT1G78500/AT1G68250/AT5G10120/AT4G14070/AT5G13790/AT4G21200/AT5G11100/AT1G12610/AT5G48230/AT3G24650/AT1G47990/AT3G22500/AT1G72570/AT1G79460/AT5G63910/AT3G54510/AT5G23960/AT2G17370/AT3G52940/AT5G47720/AT1G68320/AT2G44990/AT1G02700/AT2G32460,60
up,GO:0016101,diterpenoid metabolic process,22/2126,64/20876,1.558551526435591e-7,7.88627072376409e-5,7.404486901030843e-5,AT1G77950/AT3G26790/AT5G07200/AT4G27150/AT5G51810/AT1G17010/AT4G02780/AT4G24150/AT1G05160/AT1G67100/AT3G56350/AT5G10120/AT5G13790/AT4G21200/AT1G12610/AT3G24650/AT1G47990/AT1G72570/AT1G79460/AT3G54510/AT1G68320/AT2G32460,22
up,GO:0010431,seed maturation,43/2126,187/20876,2.4360506700337886e-7,9.244812292778227e-5,8.680033176909868e-5,AT1G78390/AT5G45830/AT3G27660/AT5G44120/AT2G27380/AT5G49190/AT1G07430/AT1G03890/AT3G13960/AT4G26740/AT4G02280/AT5G07190/AT3G15670/AT5G40420/AT5G57390/AT5G52920/AT5G01300/AT2G31980/AT2G34710/AT1G74670/AT2G41280/AT2G40220/AT1G30100/AT5G51760/AT4G28520/AT5G13790/AT3G21720/AT2G30470/AT1G48270/AT1G48410/AT4G25140/AT3G24440/AT1G76500/AT5G20320/AT2G45190/AT2G13540/AT1G70910/AT5G13480/AT1G28300/AT2G06510/AT1G20650/AT5G27540/AT5G12410,43
up,GO:0016114,terpenoid biosynthetic process,54/2126,265/20876,5.185926778744191e-7,1.5704450161597926e-4,1.4745042312463486e-4,AT1G54860/AT1G77950/AT3G26790/AT1G78390/AT2G21490/AT5G07200/AT4G27150/AT5G51810/AT2G34490/AT1G17010/AT4G02780/AT4G24150/AT5G44310/AT2G23240/AT4G10020/AT2G28420/AT1G05160/AT3G02590/AT2G34860/AT3G24430/AT5G04220/AT4G16740/AT1G67100/AT1G12800/AT4G14210/AT1G80030/AT3G56350/AT5G23120/AT2G43710/AT4G30950/AT5G44630/AT3G03660/AT1G30100/AT2G27680/AT5G51760/AT1G78500/AT1G68250/AT5G10120/AT4G14070/AT5G11100/AT1G12610/AT5G48230/AT3G24650/AT3G22500/AT1G72570/AT1G79460/AT3G54510/AT5G23960/AT2G17370/AT3G52940/AT5G47720/AT1G68320/AT1G02700/AT2G32460,54
up,GO:0009686,gibberellin biosynthetic process,19/2126,54/20876,7.181220883874604e-7,1.5704450161597926e-4,1.4745042312463486e-4,AT1G77950/AT3G26790/AT5G07200/AT4G27150/AT5G51810/AT1G17010/AT4G02780/AT4G24150/AT1G05160/AT1G67100/AT3G56350/AT5G10120/AT1G12610/AT3G24650/AT1G72570/AT1G79460/AT3G54510/AT1G68320/AT2G32460,19
up,GO:0019915,lipid storage,28/2126,102/20876,7.241841312989821e-7,1.5704450161597926e-4,1.4745042312463486e-4,AT3G22640/AT4G27160/AT3G27660/AT2G27380/AT1G48990/AT3G18570/AT5G61610/AT5G51210/AT4G26740/AT5G40420/AT5G57390/AT3G01570/AT2G28420/AT2G34710/AT4G18550/AT2G40220/AT5G51760/AT4G28520/AT4G25140/AT3G24440/AT1G76500/AT5G20320/AT2G13540/AT5G13480/AT5G07510/AT2G06510/AT5G27540/AT5G12410,28
up,GO:0016102,diterpenoid biosynthetic process,19/2126,55/20876,9.928318731224593e-7,1.8838984792498664e-4,1.7688083634313288e-4,AT1G77950/AT3G26790/AT5G07200/AT4G27150/AT5G51810/AT1G17010/AT4G02780/AT4G24150/AT1G05160/AT1G67100/AT3G56350/AT5G10120/AT1G12610/AT3G24650/AT1G72570/AT1G79460/AT3G54510/AT1G68320/AT2G32460,19
up,GO:0051235,maintenance of location,29/2126,115/20876,3.066744130146629e-6,5.172575099513981e-4,4.8565749148754805e-4,AT3G22640/AT4G27160/AT3G27660/AT2G27380/AT1G48990/AT3G18570/AT5G61610/AT5G51210/AT4G26740/AT5G40420/AT5G57390/AT3G01570/AT2G28420/AT2G34710/AT4G18550/AT2G40220/AT5G51760/AT4G28520/AT4G25140/AT3G24440/AT2G01770/AT1G76500/AT5G20320/AT2G13540/AT5G13480/AT5G07510/AT2G06510/AT5G27540/AT5G12410,29
up,GO:0010162,seed dormancy process,35/2126,159/20876,8.703618201840057e-6,0.0012010993118539278,0.0011277223966786065,AT1G78390/AT5G45830/AT3G27660/AT5G44120/AT2G27380/AT1G07430/AT3G13960/AT4G26740/AT5G07190/AT3G15670/AT5G40420/AT5G57390/AT5G01300/AT2G31980/AT2G34710/AT1G74670/AT2G41280/AT2G40220/AT1G30100/AT5G51760/AT4G28520/AT3G21720/AT1G48270/AT4G25140/AT3G24440/AT1G76500/AT5G20320/AT2G45190/AT2G13540/AT1G70910/AT5G13480/AT2G06510/AT1G20650/AT5G27540/AT5G12410,35
