seqnames,start,end,width,strand,Conc,Conc_E50h,Conc_GM3D,Fold,p.value,FDR,feature_id,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,distanceToTSS
1,10105997,10109002,3006,*,10.53,7.87,11.41,-3.55,4.069999999999998e-230,1.0399999999999996e-225,E50h_GM3D_2483,Promoter (<=1kb),1,10106090,10106161,72,1,AT1G28930,0
5,3310479,3312314,1836,*,10.63,11.48,8.24,3.24,7.199999999999996e-215,9.239999999999995e-211,E50h_GM3D_20574,Promoter (<=1kb),5,3311395,3311496,102,2,AT5G10504,0
5,5833776,5835430,1655,*,10.11,10.96,7.76,3.2,3.089999999999999e-162,2.6399999999999993e-158,E50h_GM3D_21196,Promoter (<=1kb),5,5830581,5833901,3321,2,AT5G17700,0
1,20458318,20459560,1243,*,9.72,10.64,6.64,3.99,1.0699999999999997e-161,6.8399999999999975e-158,E50h_GM3D_4228,Promoter (<=1kb),1,20457421,20458631,1211,2,AT1G54860,0
1,9539052,9540126,1075,*,10.21,11.09,7.59,3.5,6.409999999999998e-161,3.289999999999999e-157,E50h_GM3D_2341,Promoter (<=1kb),1,9537746,9539013,1268,2,AT1G27461,-39
2,2054478,2055818,1341,*,9.61,10.53,6.37,4.16,5.579999999999998e-158,2.3899999999999996e-154,E50h_GM3D_7177,Promoter (<=1kb),2,2055549,2056700,1152,1,AT2G05580,0
1,25550789,25552234,1446,*,9.98,10.83,7.65,3.17,4.2099999999999984e-151,1.5399999999999995e-147,E50h_GM3D_5418,Promoter (<=1kb),1,25551922,25554258,2337,1,AT1G68170,0
1,29306006,29308158,2153,*,10.18,10.98,8.2,2.78,3.1099999999999995e-142,9.979999999999999e-139,E50h_GM3D_6445,Promoter (<=1kb),1,29306957,29311194,4238,1,AT1G77950,0
3,8013715,8014820,1106,*,9.42,10.32,6.49,3.83,2.1699999999999996e-141,6.179999999999999e-138,E50h_GM3D_12928,Promoter (<=1kb),3,8011724,8013902,2179,2,AT3G22640,0
3,9855461,9856659,1199,*,9.72,10.59,7.17,3.42,2.0399999999999994e-140,5.249999999999999e-137,E50h_GM3D_13411,Promoter (<=1kb),3,9853828,9855989,2162,2,AT3G26790,0
2,12185077,12186752,1676,*,10.58,11.32,8.95,2.37,5.079999999999999e-140,1.1899999999999998e-136,E50h_GM3D_8972,Promoter (1-2kb),2,12186569,12188142,1574,2,AT2G28500,1390
4,6073514,6074596,1083,*,9.86,10.71,7.47,3.24,3.969999999999999e-130,8.489999999999997e-127,E50h_GM3D_16576,Promoter (<=1kb),4,6072804,6073612,809,2,AT4G09600,0
3,11218097,11219504,1408,*,9.76,10.6,7.5,3.1,8.6499999999999975e-130,1.7099999999999995e-126,E50h_GM3D_13724,Promoter (1-2kb),3,11215952,11216866,915,2,AT3G29260,-1231
4,6075762,6076600,839,*,9.36,10.24,6.64,3.6,1.3099999999999998e-123,2.4099999999999995e-120,E50h_GM3D_16577,Promoter (<=1kb),4,6074770,6075645,876,2,AT4G09610,-117
1,29493476,29494422,947,*,9.51,10.35,7.22,3.13,3.929999999999999e-121,6.729999999999998e-118,E50h_GM3D_6509,Promoter (<=1kb),1,29490895,29492875,1981,2,AT1G78390,-601
4,13611415,13612247,833,*,9.06,10.02,4.72,5.3,1.68e-117,2.6899999999999996e-114,E50h_GM3D_18440,Promoter (<=1kb),4,13611796,13612563,768,1,AT4G27160,0
3,7592888,7594002,1115,*,10.57,11.3,9.02,2.28,1.7799999999999997e-113,2.6899999999999994e-110,E50h_GM3D_12830,Promoter (<=1kb),3,7591483,7592322,840,2,AT3G21550,-566
4,17140917,17141410,494,*,9.36,10.23,6.76,3.47,2.2999999999999994e-112,3.2699999999999994e-109,E50h_GM3D_19325,Promoter (1-2kb),4,17137344,17139635,2292,2,AT4G36220,-1282
4,13612833,13613805,973,*,8.91,9.82,5.82,4,1.1199999999999998e-109,1.5099999999999995e-106,E50h_GM3D_18441,Promoter (<=1kb),4,13613596,13614283,688,1,AT4G27170,0
5,7445345,7446925,1581,*,9.99,10.74,8.38,2.36,2.86e-107,3.669999999999999e-104,E50h_GM3D_21606,Promoter (<=1kb),5,7443508,7445546,2039,2,AT5G22460,0
